,",ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location"
14,"9317,4686904,HM288497,11/01/2003 08:00:00 AM,034XX S PAULINA ST,0840,THEFT,FINANCIAL ID THEFT: OVER $300,RESIDENCE,False,False,922,9.0,11.0,59.0,06,1165579.0,1881889.0,2003,04/15/2016 08:55:02 AM,41.831494381,-87.667977499,""(41.831494381, -87.667977499)"""
15,"9585,4687321,HM287080,11/15/2003 09:00:00 AM,033XX W 63RD ST,0840,THEFT,FINANCIAL ID THEFT: OVER $300,APARTMENT,False,False,823,8.0,15.0,66.0,06,1155257.0,1862653.0,2003,04/15/2016 08:55:02 AM,41.778921304,-87.706364915,""(41.778921304, -87.706364915)"""
16,"9992,4688004,HM290677,01/02/2003 08:00:00 AM,035XX W WABANSIA AVE,0840,THEFT,FINANCIAL ID THEFT: OVER $300,RESIDENCE,False,False,1422,14.0,26.0,23.0,06,1152348.0,1911064.0,2003,04/15/2016 08:55:02 AM,41.911824751,-87.715753397,""(41.911824751, -87.715753397)"""
17,"10808,4803028,HM414773,01/01/2001 12:00:00 AM,055XX S TRIPP AVE,1753,OFFENSE INVOLVING CHILDREN,SEX ASSLT OF CHILD BY FAM MBR,RESIDENCE,True,False,813,8.0,13.0,62.0,02,1149024.0,1867199.0,2001,10/03/2006 05:10:58 AM,41.791518681,-87.729098793,""(41.791518681, -87.729098793)"""
18,"11210,4803606,HM417252,01/01/2001 12:00:00 AM,032XX S OAKLEY AVE,0840,THEFT,FINANCIAL ID THEFT: OVER $300,OTHER,False,False,913,9.0,12.0,59.0,06,1161574.0,1882962.0,2001,06/25/2006 04:27:37 AM,41.834522994,-87.682642417,""(41.834522994, -87.682642417)"""
19,"14820,4808626,HM413308,06/14/2002 04:00:00 PM,032XX W BEACH AVE,0266,CRIM SEXUAL ASSAULT,PREDATORY,APARTMENT,False,False,1422,14.0,26.0,23.0,02,,,2002,08/17/2015 03:03:40 PM,,,"
20,"15214,4809221,HM423298,06/16/2001 08:00:00 AM,063XX S DAMEN AVE,1754,OFFENSE INVOLVING CHILDREN,AGG SEX ASSLT OF CHILD FAM MBR,RESIDENCE,True,False,726,7.0,15.0,67.0,02,1164076.0,1862580.0,2001,08/05/2006 04:48:25 AM,41.778539988,-87.674035599,""(41.778539988, -87.674035599)"""
21,"15334,4809407,HM423503,01/01/2004 12:00:00 AM,001XX W RANDOLPH ST,0840,THEFT,FINANCIAL ID THEFT: OVER $300,APARTMENT,False,False,113,1.0,42.0,32.0,06,,,2004,08/17/2015 03:03:40 PM,,,"
22,"15379,4695836,HM294072,10/31/2003 02:00:00 PM,067XX S ASHLAND AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,GAS STATION,False,False,725,7.0,15.0,67.0,07,1166831.0,1860122.0,2003,04/15/2016 08:55:02 AM,41.771736514,-87.66400571,""(41.771736514, -87.66400571)"""
23,"15596,4696148,HM300702,01/01/2003 09:00:00 AM,081XX S ALBANY AVE,0840,THEFT,FINANCIAL ID THEFT: OVER $300,RESIDENCE,False,False,835,8.0,18.0,70.0,06,1157131.0,1850403.0,2003,04/15/2016 08:55:02 AM,41.745267715,-87.699825354,""(41.745267715, -87.699825354)"""
24,"15791,4696401,HM301419,01/01/2003 12:00:00 AM,052XX N HARLEM AVE,0810,THEFT,OVER $500,COMMERCIAL / BUSINESS OFFICE,True,False,1613,16.0,41.0,10.0,06,1127354.0,1934219.0,2003,04/15/2016 08:55:02 AM,41.975821967,-87.807053208,""(41.975821967, -87.807053208)"""
25,"16594,4811727,HM402010,06/01/2001 08:00:00 AM,054XX W IOWA ST,1563,SEX OFFENSE,CRIMINAL SEXUAL ABUSE,RESIDENCE,False,False,1524,15.0,37.0,25.0,17,1139668.0,1905504.0,2001,06/22/2006 03:55:52 AM,41.896808547,-87.762472408,""(41.896808547, -87.762472408)"""
26,"17867,4699493,HM302756,01/01/2003 12:00:00 PM,017XX E 71ST ST,0840,THEFT,FINANCIAL ID THEFT: OVER $300,OTHER,False,False,324,3.0,5.0,43.0,06,1188978.0,1858219.0,2003,04/15/2016 08:55:02 AM,41.766012869,-87.58288376,""(41.766012869, -87.58288376)"""
27,"18120,4815217,HM417727,12/13/2004 01:00:00 PM,067XX S CORNELL AVE,1130,DECEPTIVE PRACTICE,FRAUD OR CONFIDENCE GAME,RESIDENCE,False,False,332,3.0,5.0,43.0,11,,,2004,08/17/2015 03:03:40 PM,,,"
28,"18556,4815972,HM424376,10/06/2004 09:00:00 AM,029XX N MASON AVE,0841,THEFT,FINANCIAL ID THEFT:$300 &UNDER,RESIDENCE,False,False,2514,25.0,30.0,19.0,06,,,2004,08/17/2015 03:03:40 PM,,,"
29,"19342,4817129,HM424203,01/12/2004 03:00:00 PM,008XX E 80TH ST,2825,OTHER OFFENSE,HARASSMENT BY TELEPHONE,RESIDENCE,False,False,631,6.0,8.0,44.0,26,,,2004,08/17/2015 03:03:40 PM,,,"
30,"19660,4817811,HM425763,09/17/2004 09:00:00 AM,011XX E 82ND ST,1130,DECEPTIVE PRACTICE,FRAUD OR CONFIDENCE GAME,RESIDENCE,False,False,411,4.0,8.0,45.0,11,,,2004,08/17/2015 03:03:40 PM,,,"
31,"22131,4706080,HM306283,12/10/2003 09:00:00 AM,006XX W JACKSON BLVD,0841,THEFT,FINANCIAL ID THEFT:$300 &UNDER,APARTMENT,False,False,111,1.0,2.0,28.0,06,1172228.0,1898889.0,2003,04/15/2016 08:55:02 AM,41.87799981,-87.64308039,""(41.87799981, -87.64308039)"""
32,"22151,4821866,HM434610,07/25/2001 10:00:00 AM,034XX W LYNDALE ST,0840,THEFT,FINANCIAL ID THEFT: OVER $300,RESIDENCE,False,True,1413,14.0,26.0,22.0,06,1152998.0,1914702.0,2001,07/14/2006 05:11:24 AM,41.921794873,-87.713268849,""(41.921794873, -87.713268849)"""
33,"22254,4822001,HM431335,06/23/2001 08:00:00 PM,067XX S PARNELL AVE,0840,THEFT,FINANCIAL ID THEFT: OVER $300,RESIDENCE,False,False,722,7.0,6.0,68.0,06,1173768.0,1860341.0,2001,07/04/2006 03:44:27 AM,41.772186514,-87.638570496,""(41.772186514, -87.638570496)"""
34,"23659,4708622,HM312347,05/23/2003 09:00:00 AM,026XX S HOMAN AVE,0840,THEFT,FINANCIAL ID THEFT: OVER $300,RESIDENCE,False,False,1032,10.0,22.0,30.0,06,1154123.0,1886283.0,2003,04/15/2016 08:55:02 AM,41.843787854,-87.709893838,""(41.843787854, -87.709893838)"""
35,"23921,4709062,HM313501,06/18/2003 09:00:00 AM,001XX E 58TH ST,0840,THEFT,FINANCIAL ID THEFT: OVER $300,RESIDENCE,False,True,233,2.0,20.0,40.0,06,1178280.0,1866596.0,2003,04/15/2016 08:55:02 AM,41.789249657,-87.621841243,""(41.789249657, -87.621841243)"""
36,"24196,4709502,HM314530,12/01/2003 12:01:00 AM,047XX W DIVERSEY AVE,0840,THEFT,FINANCIAL ID THEFT: OVER $300,OTHER,False,False,2521,25.0,31.0,19.0,06,1144490.0,1918201.0,2003,04/15/2016 08:55:02 AM,41.931561031,-87.74444156,""(41.931561031, -87.74444156)"""
37,"24886,4710526,HM274261,08/01/2003 09:00:00 AM,051XX W WASHINGTON BLVD,0841,THEFT,FINANCIAL ID THEFT:$300 &UNDER,RESIDENCE,False,False,1533,15.0,28.0,25.0,06,1142160.0,1900019.0,2003,04/15/2016 08:55:02 AM,41.88171118,-87.753455712,""(41.88171118, -87.753455712)"""
38,"25236,4826592,HM438693,01/01/2004 12:01:00 AM,053XX N MAGNET AVE,0843,THEFT,ATTEMPT FINANCIAL IDENTITY THEFT,RESIDENCE,False,False,1622,16.0,45.0,11.0,06,,,2004,08/17/2015 03:03:40 PM,,,"
39,"25378,4711465,HM315884,07/07/2003 12:00:00 AM,046XX N MARINE DR,0840,THEFT,FINANCIAL ID THEFT: OVER $300,STREET,False,False,2312,19.0,46.0,3.0,06,1170399.0,1931093.0,2003,04/15/2016 08:55:02 AM,41.966409353,-87.648852157,""(41.966409353, -87.648852157)"""
40,"25570,4711723,HM317057,08/09/2003 12:00:00 PM,077XX S LAFLIN ST,1150,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,RESIDENCE,False,False,612,6.0,17.0,71.0,11,1167456.0,1853484.0,2003,04/15/2016 08:55:02 AM,41.753507587,-87.661904591,""(41.753507587, -87.661904591)"""
41,"27676,4830505,HM329032,01/01/2004 12:01:00 AM,006XX E MARQUETTE RD,1754,OFFENSE INVOLVING CHILDREN,AGG SEX ASSLT OF CHILD FAM MBR,RESIDENCE,True,False,321,3.0,20.0,42.0,02,,,2004,08/17/2015 03:03:40 PM,,,"
42,"27699,4830538,HM442686,07/01/2002 12:00:00 AM,022XX S SPAULDING AVE,0840,THEFT,FINANCIAL ID THEFT: OVER $300,RESIDENCE,False,False,1024,10.0,22.0,30.0,06,,,2002,08/17/2015 03:03:40 PM,,,"
43,"28961,4832512,HM442425,11/01/2004 12:01:00 AM,001XX S RIVERSIDE PLZ,1562,SEX OFFENSE,AGG CRIMINAL SEXUAL ABUSE,OTHER,False,False,111,1.0,2.0,28.0,17,,,2004,08/17/2015 03:03:40 PM,,,"
44,"29033,4832679,HM444090,03/01/2004 09:00:00 AM,061XX S KIMBARK AVE,1120,DECEPTIVE PRACTICE,FORGERY,APARTMENT,False,False,314,3.0,20.0,42.0,10,,,2004,08/17/2015 03:03:40 PM,,,"
45,"29250,4833086,HM444976,06/29/2004 12:01:00 AM,062XX S WESTERN AVE,1120,DECEPTIVE PRACTICE,FORGERY,BANK,False,True,825,8.0,15.0,66.0,10,,,2004,08/17/2015 03:03:40 PM,,,"
46,"30374,4834746,HM440439,06/27/2004 03:30:00 PM,106XX S MICHIGAN AVE,0460,BATTERY,SIMPLE,SMALL RETAIL STORE,False,False,512,5.0,9.0,49.0,08B,,,2004,08/17/2015 03:03:40 PM,,,"
47,"30616,4718225,HM319881,11/01/2003 12:35:00 PM,063XX S ELLIS AVE,2825,OTHER OFFENSE,HARASSMENT BY TELEPHONE,RESIDENCE,False,False,314,3.0,20.0,42.0,26,1184145.0,1863207.0,2003,04/15/2016 08:55:02 AM,41.779814746,-87.600442358,""(41.779814746, -87.600442358)"""
48,"30648,4835260,HM447297,07/08/2004 12:01:00 AM,022XX N LAVERGNE AVE,0263,CRIM SEXUAL ASSAULT,AGGRAVATED: KNIFE/CUT INSTR,RESIDENCE,True,False,2522,25.0,31.0,19.0,02,,,2004,08/17/2015 03:03:40 PM,,,"
49,"30902,4835588,HM446921,01/01/2004 12:01:00 AM,017XX N KARLOV AVE,0840,THEFT,FINANCIAL ID THEFT: OVER $300,RESIDENCE,False,False,2534,25.0,30.0,23.0,06,,,2004,08/17/2015 03:03:40 PM,,,"
50,"31047,4835774,HM440784,01/01/2001 12:00:00 AM,022XX W 80TH ST,0842,THEFT,AGG: FINANCIAL ID THEFT,OTHER,False,False,835,8.0,18.0,70.0,06,1162750.0,1851604.0,2001,07/10/2006 03:52:16 AM,41.748448075,-87.679202816,""(41.748448075, -87.679202816)"""
51,"32816,4838005,HM450002,08/01/2004 12:00:00 PM,036XX N NOTTINGHAM AVE,0841,THEFT,FINANCIAL ID THEFT:$300 &UNDER,RESIDENCE,False,False,1632,16.0,36.0,17.0,06,,,2004,08/17/2015 03:03:40 PM,,,"
52,"33684,4722424,HM325827,10/01/2003 12:00:00 AM,002XX W 22ND PL,0842,THEFT,AGG: FINANCIAL ID THEFT,RESIDENCE,False,False,2111,9.0,25.0,34.0,06,1175048.0,1889495.0,2003,04/15/2016 08:55:02 AM,41.852159338,-87.633007505,""(41.852159338, -87.633007505)"""
53,"34838,4724079,HM328405,08/03/2003 12:01:00 AM,051XX S FRANCISCO AVE,0840,THEFT,FINANCIAL ID THEFT: OVER $300,RESIDENCE,False,False,911,9.0,14.0,63.0,06,1157911.0,1870458.0,2003,04/15/2016 08:55:02 AM,41.8002858,-87.69642307,""(41.8002858, -87.69642307)"""
54,"35022,4724354,HM328186,07/01/2003 12:01:00 AM,022XX N AVERS AVE,0841,THEFT,FINANCIAL ID THEFT:$300 &UNDER,APARTMENT,False,False,2525,25.0,30.0,22.0,06,1150348.0,1914512.0,2003,04/15/2016 08:55:02 AM,41.921325664,-87.723010704,""(41.921325664, -87.723010704)"""
55,"35525,4842335,HM454558,07/03/2004 04:30:00 PM,002XX W 46TH PL,0610,BURGLARY,FORCIBLE ENTRY,RESIDENCE,False,False,935,9.0,3.0,37.0,05,,,2004,08/17/2015 03:03:40 PM,,,"
56,"35551,4842389,HM452242,10/13/2004 12:00:00 PM,061XX S WESTERN AVE,0840,THEFT,FINANCIAL ID THEFT: OVER $300,OTHER,False,True,825,8.0,15.0,66.0,06,,,2004,08/17/2015 03:03:40 PM,,,"
57,"36911,4844640,HM457966,06/15/2004 12:00:00 PM,007XX E 82ND ST,2820,OTHER OFFENSE,TELEPHONE THREAT,APARTMENT,False,False,631,6.0,6.0,44.0,26,,,2004,08/17/2015 03:03:40 PM,,,"
58,"36931,4844682,HM456264,11/01/2004 12:01:00 AM,059XX N AUSTIN AVE,0840,THEFT,FINANCIAL ID THEFT: OVER $300,APARTMENT,False,False,1622,16.0,45.0,11.0,06,,,2004,08/17/2015 03:03:40 PM,,,"
59,"38650,4847694,HM444660,01/01/2004 12:00:00 AM,021XX N MOODY AVE,1752,OFFENSE INVOLVING CHILDREN,AGG CRIM SEX ABUSE FAM MEMBER,APARTMENT,False,True,2512,25.0,29.0,19.0,20,,,2004,08/17/2015 03:03:40 PM,,,"
60,"39091,4848232,HM457837,02/09/2004 02:00:00 PM,075XX S YALE AVE,0840,THEFT,FINANCIAL ID THEFT: OVER $300,DEPARTMENT STORE,False,False,623,6.0,17.0,69.0,06,,,2004,08/17/2015 03:03:40 PM,,,"
61,"40204,4849736,HM458656,07/09/2004 12:01:00 AM,071XX S SPAULDING AVE,0840,THEFT,FINANCIAL ID THEFT: OVER $300,SIDEWALK,False,False,831,8.0,18.0,66.0,06,,,2004,08/17/2015 03:03:40 PM,,,"
62,"40224,4731694,HM337822,02/15/2003 12:01:00 AM,047XX N BROADWAY,1130,DECEPTIVE PRACTICE,FRAUD OR CONFIDENCE GAME,BANK,False,False,2312,19.0,48.0,3.0,11,1167488.0,1931888.0,2003,04/15/2016 08:55:02 AM,41.968654176,-87.659532372,""(41.968654176, -87.659532372)"""
63,"40763,4850450,HM464385,05/01/2001 12:01:00 AM,130XX S BURLEY AVE,1752,OFFENSE INVOLVING CHILDREN,AGG CRIM SEX ABUSE FAM MEMBER,RESIDENCE,False,False,433,4.0,10.0,55.0,20,1199790.0,1818891.0,2001,10/14/2006 06:13:36 AM,41.657827784,-87.544575368,""(41.657827784, -87.544575368)"""
64,"41462,4733593,HM342098,07/30/2003 12:00:00 AM,011XX N KEELER AVE,0840,THEFT,FINANCIAL ID THEFT: OVER $300,RESIDENCE,False,False,1111,11.0,37.0,23.0,06,1148167.0,1907469.0,2003,04/15/2016 08:55:02 AM,41.902041291,-87.731205967,""(41.902041291, -87.731205967)"""
65,"41617,4733828,HM342754,09/01/2003 09:00:00 AM,040XX W KAMERLING AVE,0841,THEFT,FINANCIAL ID THEFT:$300 &UNDER,RESIDENCE,False,False,2534,25.0,27.0,23.0,06,1149147.0,1908685.0,2003,04/15/2016 08:55:02 AM,41.905359186,-87.727574721,""(41.905359186, -87.727574721)"""
66,"42804,4735661,HM343982,07/01/2003 12:00:00 AM,061XX S DREXEL AVE,0841,THEFT,FINANCIAL ID THEFT:$300 &UNDER,RESIDENCE,False,False,313,3.0,20.0,42.0,06,1183066.0,1864341.0,2003,04/15/2016 08:55:02 AM,41.782951712,-87.604362828,""(41.782951712, -87.604362828)"""
67,"43146,4854455,HM465137,11/01/2004 12:00:00 AM,0000X E 57TH ST,1753,OFFENSE INVOLVING CHILDREN,SEX ASSLT OF CHILD BY FAM MBR,APARTMENT,True,True,233,2.0,20.0,40.0,02,,,2004,08/17/2015 03:03:40 PM,,,"
68,"43801,4855598,HM469360,01/01/2004 12:00:00 PM,053XX N LUNA AVE,0840,THEFT,FINANCIAL ID THEFT: OVER $300,RESIDENCE,False,False,1623,16.0,45.0,11.0,06,,,2004,08/17/2015 03:03:40 PM,,,"
69,"43844,4737355,HM341887,02/01/2003 12:00:00 PM,035XX S DR MARTIN LUTHER KING JR DR,0840,THEFT,FINANCIAL ID THEFT: OVER $300,APPLIANCE STORE,False,False,212,2.0,4.0,35.0,06,1179485.0,1881787.0,2003,04/15/2016 08:55:02 AM,41.830907597,-87.616958635,""(41.830907597, -87.616958635)"""
70,"44045,4737684,HM343580,06/01/2003 09:00:00 AM,045XX N MALDEN ST,0840,THEFT,FINANCIAL ID THEFT: OVER $300,RESIDENCE,False,False,2311,19.0,46.0,3.0,06,1166726.0,1930364.0,2003,04/15/2016 08:55:02 AM,41.964488675,-87.662378087,""(41.964488675, -87.662378087)"""
71,"44069,4737727,HM347114,11/12/2003 10:00:00 AM,008XX E MARQUETTE RD,0840,THEFT,FINANCIAL ID THEFT: OVER $300,RESIDENCE,False,False,321,3.0,20.0,42.0,06,1182886.0,1861430.0,2003,04/15/2016 08:55:02 AM,41.774967846,-87.605113138,""(41.774967846, -87.605113138)"""
72,"44504,4856873,HM468956,01/01/2002 12:01:00 AM,012XX N MAYFIELD AVE,1752,OFFENSE INVOLVING CHILDREN,AGG CRIM SEX ABUSE FAM MEMBER,RESIDENCE,False,False,2531,25.0,29.0,25.0,20,,,2002,08/17/2015 03:03:40 PM,,,"
73,"45518,4858660,HM472409,01/01/2002 12:00:00 AM,006XX N STATE ST,1754,OFFENSE INVOLVING CHILDREN,AGG SEX ASSLT OF CHILD FAM MBR,HOTEL/MOTEL,False,True,1832,18.0,42.0,8.0,02,,,2002,08/17/2015 03:03:40 PM,,,"
74,"46548,4860395,HM473008,10/13/2004 11:00:00 AM,096XX S HALSTED ST,1563,SEX OFFENSE,CRIMINAL SEXUAL ABUSE,MEDICAL/DENTAL OFFICE,False,False,2223,22.0,21.0,73.0,17,,,2004,08/17/2015 03:03:40 PM,,,"
75,"46554,4740930,HM350304,09/19/2003 03:00:00 PM,059XX S MAY ST,0281,CRIM SEXUAL ASSAULT,NON-AGGRAVATED,RESIDENCE,False,False,712,7.0,16.0,68.0,02,1169669.0,1865335.0,2003,04/15/2016 08:55:02 AM,41.785980536,-87.653451443,""(41.785980536, -87.653451443)"""
76,"47179,4742054,HM345711,07/01/2003 09:00:00 AM,034XX W LAKE ST,0840,THEFT,FINANCIAL ID THEFT: OVER $300,PARKING LOT/GARAGE(NON.RESID.),False,False,1123,11.0,28.0,27.0,06,1153501.0,1901178.0,2003,04/15/2016 08:55:02 AM,41.884673766,-87.711780717,""(41.884673766, -87.711780717)"""
77,"47283,4861687,HM440464,01/09/2002 12:00:00 PM,086XX S STONY ISLAND AVE,0840,THEFT,FINANCIAL ID THEFT: OVER $300,BANK,False,False,412,4.0,8.0,45.0,06,,,2002,08/17/2015 03:03:40 PM,,,"
78,"47434,4862013,HM476066,01/01/2002 12:00:00 AM,004XX E 33RD ST,1562,SEX OFFENSE,AGG CRIMINAL SEXUAL ABUSE,APARTMENT,False,False,2122,2.0,4.0,35.0,17,,,2002,08/17/2015 03:03:40 PM,,,"
79,"47653,4742727,HM352440,12/01/2003 10:00:00 AM,091XX S HARPER AVE,0840,THEFT,FINANCIAL ID THEFT: OVER $300,RESIDENCE,False,False,413,4.0,8.0,48.0,06,1188041.0,1844773.0,2003,04/15/2016 08:55:02 AM,41.72913814,-87.586745763,""(41.72913814, -87.586745763)"""
80,"47747,4862395,HM467392,07/17/2004 12:00:00 AM,012XX N CLEAVER ST,1562,SEX OFFENSE,AGG CRIMINAL SEXUAL ABUSE,APARTMENT,False,False,1433,14.0,1.0,24.0,17,,,2004,08/17/2015 03:03:40 PM,,,"
81,"49225,4745148,HM355759,01/01/2003 12:00:00 AM,094XX S VANDERPOEL AVE,1562,SEX OFFENSE,AGG CRIMINAL SEXUAL ABUSE,RESIDENCE,False,False,2221,22.0,19.0,72.0,17,1166344.0,1842198.0,2003,04/15/2016 08:55:02 AM,41.72256088,-87.666300236,""(41.72256088, -87.666300236)"""
82,"49308,4745262,HM355803,11/01/2003 12:00:00 AM,075XX S YALE AVE,0840,THEFT,FINANCIAL ID THEFT: OVER $300,RESIDENCE,False,False,623,6.0,17.0,69.0,06,1175814.0,1854960.0,2003,04/15/2016 08:55:02 AM,41.757374833,-87.631231515,""(41.757374833, -87.631231515)"""
83,"49420,4745415,HM350533,01/01/2003 12:01:00 AM,024XX N NORDICA AVE,0840,THEFT,FINANCIAL ID THEFT: OVER $300,RESIDENCE,False,False,2512,25.0,36.0,18.0,06,1128679.0,1915523.0,2003,04/15/2016 08:55:02 AM,41.924495568,-87.802606325,""(41.924495568, -87.802606325)"""
84,"49912,4746249,HM356873,07/01/2003 09:00:00 AM,091XX S ADA ST,0840,THEFT,FINANCIAL ID THEFT: OVER $300,RESIDENCE,False,False,2222,22.0,21.0,73.0,06,1168936.0,1844102.0,2003,04/15/2016 08:55:02 AM,41.727730234,-87.656751235,""(41.727730234, -87.656751235)"""
85,"49968,4746322,HM357095,05/16/2003 12:01:00 AM,048XX W WAVELAND AVE,5002,OTHER OFFENSE,OTHER VEHICLE OFFENSE,APARTMENT,False,False,1634,16.0,38.0,15.0,26,1143398.0,1924163.0,2003,04/15/2016 08:55:02 AM,41.947941831,-87.748305001,""(41.947941831, -87.748305001)"""
86,"50891,4866805,HM474523,02/21/2004 12:01:00 AM,003XX W 51ST ST,1752,OFFENSE INVOLVING CHILDREN,AGG CRIM SEX ABUSE FAM MEMBER,RESIDENCE,False,False,934,9.0,3.0,37.0,20,,,2004,08/17/2015 03:03:40 PM,,,"
87,"51007,4867308,HM481812,07/14/2004 06:00:00 PM,003XX S CENTRAL AVE,1750,OFFENSE INVOLVING CHILDREN,CHILD ABUSE,RESIDENCE,False,True,1522,15.0,29.0,25.0,20,,,2004,08/17/2015 03:03:40 PM,,,"
88,"51071,4867146,HM480670,12/02/2004 09:00:00 AM,012XX N CLARK ST,0810,THEFT,OVER $500,BANK,True,False,1824,18.0,42.0,8.0,06,,,2004,08/17/2015 03:03:40 PM,,,"
89,"51083,4747760,HM352979,12/01/2003 09:00:00 AM,048XX W ARMITAGE AVE,0840,THEFT,FINANCIAL ID THEFT: OVER $300,RESIDENCE,False,False,2533,25.0,31.0,19.0,06,1143576.0,1912855.0,2003,04/15/2016 08:55:02 AM,41.916908245,-87.747934514,""(41.916908245, -87.747934514)"""
90,"51680,4868152,HM457999,01/01/2004 12:00:00 AM,083XX S MARSHFIELD AVE,142A,WEAPONS VIOLATION,UNLAWFUL SALE HANDGUN,RESIDENCE,False,False,614,6.0,18.0,71.0,15,,,2004,08/17/2015 03:03:40 PM,,,"
91,"51951,4868565,HK562944,08/17/2004 09:27:00 AM,072XX S ABERDEEN ST,0920,MOTOR VEHICLE THEFT,ATT: AUTOMOBILE,ALLEY,False,False,733,7.0,17.0,68.0,07,,,2004,08/17/2015 03:03:40 PM,,,"
92,"52143,4868847,HM471400,12/06/2002 07:00:00 AM,024XX S SAWYER AVE,0840,THEFT,FINANCIAL ID THEFT: OVER $300,RESIDENCE,False,False,1024,10.0,22.0,30.0,06,,,2002,08/17/2015 03:03:40 PM,,,"
93,"53215,4871195,HM482915,12/28/2004 12:00:00 PM,021XX S FAIRFIELD AVE,0840,THEFT,FINANCIAL ID THEFT: OVER $300,RESIDENCE,False,False,1023,10.0,28.0,30.0,06,,,2004,08/17/2015 03:03:40 PM,,,"
